adm0,country,adm1,province,cases,outbreaks,cas.or.out,lon,lat,altitude,pop.tot,logpop,LC0,LC1,LC2,LC3,LC4,LC5,LC6,LC7,LC8,LC9,LC10,LC11,LC12,LC13,LC14,LC15,LC16,EVI.mean,adm0_adm1,surv.qual.adm0
ZMB,Zambia,5,Lusaka,0,0,0,28.36695707,-15.42631602,1197.114797,1879110,6.273952204,0.000279567,3.05E-06,0.00034737,0,0.001879499,4.94E-06,0.002922781,0.010573188,0.037629212,0.316846547,0.025817931,0.000646658,0.019581467,0.569638472,0.013677324,0,0.000151953,0.271967041,ZMB_5,NA
ZMB,Zambia,6,North-Western,0,0,0,25.3213506,-12.62448215,1255.644414,920630,5.964085123,0.000275804,4.39E-05,0.036343298,0,0.09937605,0.001229412,0.028885687,0.023570424,0.544827182,0.199411148,0.043191259,0.000276074,0.001668355,0,0.020889948,0,1.14E-05,0.359592318,ZMB_6,NA
ZMB,Zambia,7,Northern,0,0,0,31.27504404,-10.11229499,1328.995213,1814300,6.258709101,0.013245235,0.001888858,0.001864407,2.53E-05,0.006462751,0.000484604,0.008295,0.010653583,0.411962813,0.501422208,0.017371616,0.001485908,0.000831165,0.000113763,0.023164079,0,0.000728708,0.332058403,ZMB_7,NA
ZMB,Zambia,8,Southern,0,0,0,27.06147959,-16.63536846,1040.302775,1697866,6.229903412,0.007893756,0.000371884,0.000235491,2.44E-05,0.001514382,0.000591355,0.001996366,0.00811257,0.049928584,0.849025013,0.010562664,0.003407036,0.049810776,0.007713678,0.008310551,0,0.000501491,0.298354961,ZMB_8,NA
ZMB,Zambia,9,Western,0,0,0,23.55667716,-15.42850923,1060.376302,1046882,6.019897733,0.002346653,0.000553493,0.001475747,0,0.003296494,6.80E-05,0.003246693,0.019448794,0.134332305,0.756424414,0.05055488,0.000101823,0.004633265,0,0.023429424,0,8.80E-05,0.314398906,ZMB_9,NA
ZWE,Zimbabwe,1,Bulawayo,0,0,0,28.57624289,-20.15499945,1332.812817,576964,5.761148716,0,0,0,0,0,0,0,0.037217773,0.066634867,0.129816673,0.009941743,0,0,0.756389023,0,0,0,0.272747627,ZWE_1,NA
ZWE,Zimbabwe,2,Harare,0,0,0,31.04762742,-17.84571336,1470.629527,1923136,6.284009998,0,0,0,0,0,0,0.000379156,0.007199538,0.006011527,0.09303527,0.009994352,0,0.004800946,0.87674001,0.001839342,0,0,0.282093505,ZWE_2,NA
ZWE,Zimbabwe,3,Manicaland,0,0,0,32.42208932,-19.12398002,1022.960068,1556621,6.192182885,0.002831948,0.000238826,0.020572545,0,0.013981601,0.000583157,0.004602988,0.029008629,0.165020284,0.68491439,0.013048983,0.000838225,0.005709686,0.050384044,0.007886605,0,0.00037798,0.300755602,ZWE_3,NA
ZWE,Zimbabwe,4,Mashonaland Central,0,0,0,31.24638436,-16.81704126,952.3641774,1025212,6.010813681,0.000179301,0,0,0,0.002438092,0,0.001624658,0.026004519,0.039074841,0.849720045,0.025314659,5.91E-05,0.02338636,0.00436058,0.027039787,0,0.000798013,0.298447951,ZWE_4,NA
ZWE,Zimbabwe,5,Mashonaland East,0,0,0,31.68054261,-17.90343625,1224.760433,1204509,6.080810049,0,0,8.80E-05,0,0.006202377,0,0.001066341,0.013954528,0.038546647,0.902337101,0.015814404,5.86E-05,0.007174141,0.005537984,0.009185511,0,3.43E-05,0.282386888,ZWE_5,NA
ZWE,Zimbabwe,6,Mashonaland West,0,0,0,29.9867181,-17.45344667,1093.500637,1294453,6.112086286,0.006245784,0.000176149,0.000682919,0,0.006011184,0.000104834,0.002010957,0.011379802,0.036099586,0.841851472,0.018379998,0.000482952,0.017558486,0.02567788,0.032862141,0,0.000475841,0.300624858,ZWE_6,NA
